2026-02-01 03:16:41 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:16:42 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:16:42 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:17:45 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:17:46 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:17:46 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:20:02 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:20:04 | INFO | fxbot | Fetched 5000 candles for EUR/USD (latest=2026-02-01 13:15:00)
2026-02-01 03:20:06 | INFO | fxbot | Fetched 5000 candles for USD/JPY (latest=2026-02-01 13:15:00)
2026-02-01 03:20:07 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:20:09 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:38:20 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:38:27 | INFO | fxbot | Model saved: model/artifacts/gb_model.joblib
2026-02-01 03:38:27 | INFO | fxbot | Meta: {'model_type': 'lgbm', 'calibrated': True, 'rows': 5716, 'auc': 0.5144146126760563, 'features': ['r1', 'r3', 'r6', 'r12', 'ema_diff', 'vol20', 'atr14', 'atr_norm', 'trend_strength', 'pair_id'], 'label_threshold': 0.00012, 'drop_middle': True}
2026-02-01 03:43:19 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=5min)
2026-02-01 03:43:20 | INFO | fxbot | Starting paper live loop (sleep=240s, max_open=5, risk_per_trade=2.00%, daily_max_loss=3.00%)
2026-02-01 03:43:22 | INFO | fxbot | Fetched candles pair=EUR/USD rows=800 latest_ts=2026-02-01 13:40:00
2026-02-01 03:43:23 | INFO | fxbot | Fetched candles pair=USD/JPY rows=800 latest_ts=2026-02-01 13:40:00
2026-02-01 03:43:23 | INFO | fxbot | Initialized trading day=2026-02-01 equity=10000.00
2026-02-01 03:43:23 | DEBUG | fxbot | Signal pair=EUR/USD ts=2026-02-01 13:40:00 p_up=0.4881 ema_diff=0.000013 atr14=0.000061 close=1.18549
2026-02-01 03:43:23 | DEBUG | fxbot | Signal pair=USD/JPY ts=2026-02-01 13:40:00 p_up=0.4967 ema_diff=0.000127 atr14=0.009224 close=154.76720
2026-02-01 03:43:23 | INFO | fxbot | Status equity=10000.00 day_dd=0.00% open=0 halted=False
2026-02-01 03:47:24 | INFO | fxbot | Fetched candles pair=EUR/USD rows=800 latest_ts=2026-02-01 13:45:00
2026-02-01 03:47:25 | INFO | fxbot | Fetched candles pair=USD/JPY rows=800 latest_ts=2026-02-01 13:45:00
2026-02-01 03:47:26 | DEBUG | fxbot | Signal pair=EUR/USD ts=2026-02-01 13:45:00 p_up=0.4881 ema_diff=0.000011 atr14=0.000064 close=1.18550
2026-02-01 03:47:26 | DEBUG | fxbot | Signal pair=USD/JPY ts=2026-02-01 13:45:00 p_up=0.5219 ema_diff=0.000119 atr14=0.011947 close=154.74644
2026-02-01 03:47:26 | INFO | fxbot | Status equity=10000.00 day_dd=0.00% open=0 halted=False
